filename,bodyScore
6c11338b-ce1a-4e23-b505-8d6afaf110f33796968321830638818_jpg.rf.fbf02da204bd862748486d6aa1e12274.jpg,4.0
53c3ffb8-ccef-41bf-ae83-bc1954c436417186970590606559613_jpg.rf.9515e0527145deefef56f4113c1a8fdc.jpg,3.0
c13a8227-7747-4eac-9906-b9dee9b6e14e1858597213961897575_jpg.rf.2fca3cd3e0421e42c16f77d1a447eae5.jpg,4.0
90bb5ad3-c9bd-4cb7-a950-62f6effad3528612499606462461862_jpg.rf.53ee51d87f8c36bfe54b29c33c89cf42.jpg,4.0
224ef780-210b-4b9e-a4d9-1ecbff118a246705373022098643035_jpg.rf.399904e8a7dfaa11a0c80b01ae15c43a.jpg,3.0
6d2aea7b-5565-4183-9d7f-cd562e4b412e8171735009714097968_jpg.rf.a93fe2493d56f9ccf5fd5da0c7843b4d.jpg,3.0
0cdd5727-f5bd-42e4-8997-d4fa643395ab1258206383965986885_jpg.rf.64a305f581a3a37f5c08cf764ac73a97.jpg,3.0
1a3d3db2-3054-477b-ac4c-da7b32a893984279427442393669917_jpg.rf.7f29daf82d5159f7890d6868ed01d1e2.jpg,3.0
98fb6ea2-8817-4eae-b344-3e4d3c705d562120750202948567995_jpg.rf.557f5ef1f02a1b6e78c1659a15ae91d8.jpg,4.0
d1fd8734-61f0-4428-bf0e-f6a9543bce582269036359041630679_jpg.rf.993ba0665bd2557e1ae0f975172ec55b.jpg,4.0
76277e9d-26aa-466e-ac5d-1a70fa81a9033975457950362289469_jpg.rf.5b9b52e66d7059a0ab8fbc2ad68679e5.jpg,4.0
0bb4f249-5df2-4ad0-92ff-73f8708ec62c569684080859074966_jpg.rf.25f629b07062ea5d32ac82e9a8808d69.jpg,4.0
498ec39c-ef61-4b95-8d6a-7e52f147ef527558478233172195859_jpg.rf.a4dd86a73817090a0518d657a00e0ab9.jpg,3.0
46698ce8-c3d2-4a8c-8577-866b78d3f1d65433055139865396250_jpg.rf.aaae384660be5214f18a101958bd5474.jpg,3.0
228c339c-1ab2-4332-8f8b-1e35570defa94714859403214936184_jpg.rf.19ffb6175150f1bbb31500235820b96e.jpg,3.0
a6a34e81-fcf4-4bea-8f4a-ffb0ca43d63b4336245664777547260_jpg.rf.1ea40960208fa97fdfd1c45603a45eb9.jpg,3.0
4d7b46bf-7131-437f-90e6-7c82738893584865485165431468967_jpg.rf.9e9495bc72d6fa96be5dce9ddc90d798.jpg,3.0
bb7fb2fc-6ae3-41a4-a337-4e60276e3df29050871378398848964_jpg.rf.ec2a8fba4b9ecfcb56424f6551da0176.jpg,3.0
dab16290-74ac-40c5-b73e-c9662613c5424100481421929316898_jpg.rf.e1691ba3c8607f735c5dc3095cd9039b.jpg,4.0
e08bfaa3-6c54-4922-9e2a-b29e1e4c4dc89144969530573611262_jpg.rf.189daf879703344b644d26de2dafd8ec.jpg,3.0
2245a40d-a19b-41ff-9431-3aff7429dc703374205090224400065_jpg.rf.958fdb516137cfb8ccf2f5f55b7c4c88.jpg,3.0
137a9962-e2ca-4e00-a33e-c8540303c9a77783808675370660625_jpg.rf.c161d204a2d23526b73c0458fd113526.jpg,4.0
d95872fa-e56c-45b6-9148-d2e623f698649119986914809524932_jpg.rf.34ed2e56680a072b7f983dfbfab2197f.jpg,4.0
